word_stem,sentiment
accommod,dovish
assetpurchas,dovish
contract,dovish
contractionari,dovish
cool,dovish
cut,dovish
dampen,dovish
decay,dovish
declin,dovish
depress,dovish
deterior,dovish
drop,dovish
eas,dovish
expansionari,dovish
fall,dovish
fallen,dovish
fell,dovish
loos,dovish
loosen,dovish
lower,dovish
movedown,dovish
putdownward,dovish
recess,dovish
reduc,dovish
reduct,dovish
slack,dovish
slower,dovish
sluggish,dovish
soft,dovish
soften,dovish
softer,dovish
trim,dovish
turndown,dovish
weak,dovish
weaken,dovish
weaker,dovish
turndown,hawkish
weak,hawkish
weaken,hawkish
weaker,hawkish
acceler,hawkish
aggress,hawkish
aris,hawkish
arisen,hawkish
augment,hawkish
boom,hawkish
bubbl,hawkish
caution,hawkish
cautious,hawkish
climb,hawkish
destabilis,hawkish
expand,hawkish
gain,hawkish
goup,hawkish
hawkin,hawkish
hike,hawkish
increas,hawkish
lift,hawkish
moveup,hawkish
moveupward,hawkish
overheat,hawkish
pickup,hawkish
pressur,hawkish
putupward,hawkish
rais,hawkish
rise,hawkish
risen,hawkish
rose,hawkish
strengthen,hawkish
strong,hawkish
stronger,hawkish
tight,hawkish
tighten,hawkish
tighter,hawkish
unsustain,hawkish
upturn,hawkish
